iter	Logloss
0	0.6758425706
1	0.6590235996
2	0.6458800586
3	0.6255810629
4	0.6132400145
5	0.5965578232
6	0.5850091961
7	0.5702768794
8	0.5613517801
9	0.5461993773
10	0.5336005718
11	0.5222801782
12	0.512592154
13	0.5027738629
14	0.4965866493
15	0.4855504797
16	0.4749938167
17	0.4664575857
18	0.459352309
19	0.453658643
20	0.4451105523
21	0.4380488618
22	0.4315480482
23	0.4266771701
24	0.4216908292
25	0.4178169936
26	0.4105493994
27	0.4057532548
28	0.3992789917
29	0.3954168603
30	0.391692953
31	0.3873788874
32	0.3836841066
33	0.3791798517
34	0.3757781816
35	0.3725929587
36	0.3688464686
37	0.3645716637
38	0.3623353572
39	0.3590303288
40	0.3568880111
41	0.3536111353
42	0.3495283574
43	0.3464879848
44	0.3441257586
45	0.341764659
46	0.3390039835
47	0.3357505055
48	0.33383998
49	0.3313647459
50	0.3281801107
51	0.3264265024
52	0.3251340707
53	0.3234000891
54	0.3209349395
55	0.3181688448
56	0.3166904001
57	0.3152730545
58	0.31427097
59	0.3122395641
60	0.3100916591
61	0.3083458852
62	0.307241927
63	0.3060518189
64	0.3045653745
65	0.3032958008
66	0.3025301318
67	0.3012299639
68	0.2991883894
69	0.2977586444
70	0.2965949559
71	0.2956935494
72	0.2943816076
73	0.293252447
74	0.2922771349
75	0.2914671092
76	0.2900905805
77	0.2888416559
78	0.2872819341
79	0.2861637838
80	0.285429731
81	0.2845672123
82	0.2836292929
83	0.2823666014
84	0.2808200454
85	0.2796988716
86	0.2788873054
87	0.2782393459
88	0.276864737
89	0.2756548143
90	0.2747788774
91	0.2740743687
92	0.2734927343
93	0.2728893252
94	0.2723643033
95	0.2719212415
96	0.2711503527
97	0.270435887
98	0.2699553921
99	0.2695576446
100	0.2684620167
101	0.26721959
102	0.2666871776
103	0.2663471327
104	0.2656718131
105	0.2647155643
106	0.263455914
107	0.2629571349
108	0.2621242896
109	0.2616141181
110	0.261235272
111	0.2607217674
112	0.2601724867
113	0.2592506138
114	0.2587347763
115	0.2581642759
116	0.2578553863
117	0.2574884529
118	0.2568750753
119	0.2564681383
120	0.2559161098
121	0.2551815446
122	0.2543905479
123	0.2540763395
124	0.2532430917
125	0.2530156849
126	0.2525674313
127	0.2521419898
128	0.2517037457
129	0.251015877
130	0.2502294884
131	0.2499546466
132	0.2496523999
133	0.2492874407
134	0.2486390541
135	0.2481564516
136	0.2478465518
137	0.2475260601
138	0.2471726129
139	0.2468907313
140	0.246444696
141	0.2459397501
142	0.2455500976
143	0.2452287329
144	0.2450327297
145	0.2441523545
146	0.2438030742
147	0.243271766
148	0.242801459
149	0.2419480644
150	0.2416507372
151	0.24125423
152	0.2410591405
153	0.2405178361
154	0.2400080528
155	0.2397558714
156	0.2395437597
157	0.2392874822
158	0.2387534132
159	0.238473719
160	0.2380250587
161	0.2375868471
162	0.2372213289
163	0.2368424056
164	0.2365280603
165	0.2362711235
166	0.2356836111
167	0.2355319315
168	0.2352741087
169	0.2348163298
170	0.2342879535
171	0.2340088048
172	0.2337097583
173	0.2334153764
174	0.2330138905
175	0.232625649
176	0.2324852427
177	0.2321882658
178	0.2315216959
179	0.2311685163
180	0.2308528905
181	0.2305377207
182	0.2303859125
183	0.2301166592
184	0.2298876621
185	0.2296212492
186	0.2293159571
187	0.2290800922
188	0.228811873
189	0.2285119246
190	0.2282531272
191	0.2280120588
192	0.2277749188
193	0.2275678656
194	0.2274135424
195	0.227128633
196	0.2269018007
197	0.2267151381
198	0.2264966115
199	0.2263658318
200	0.2260866678
201	0.2259012432
202	0.2256859476
203	0.2254267918
204	0.2251042264
205	0.224885378
206	0.2245833225
207	0.2243245669
208	0.2241126771
209	0.2238865767
210	0.2237328323
211	0.2235095786
212	0.2233904211
213	0.223086657
214	0.2228914821
215	0.2227182318
216	0.2223762633
217	0.2221130229
218	0.2218120738
219	0.2216260196
220	0.2212624613
221	0.2211947307
222	0.2210181268
223	0.2208837205
224	0.2207143802
225	0.2205318772
226	0.2199260347
227	0.219779618
228	0.2196482716
229	0.2192675529
230	0.2191147752
231	0.2189017362
232	0.2187820646
233	0.2186256443
234	0.2183457691
235	0.2181022596
236	0.2179090205
237	0.2177861405
238	0.2175576153
239	0.2173887326
240	0.2172524382
241	0.2170154033
242	0.216878632
243	0.216475064
244	0.2163495337
245	0.2161159443
246	0.2159215966
247	0.2158031526
248	0.2156253942
249	0.215409809
250	0.2152097692
251	0.214992217
252	0.2148348308
253	0.2145120718
254	0.2143133738
255	0.2141754371
256	0.2140082852
257	0.2137896675
258	0.2136396754
259	0.2134697335
260	0.2132333862
261	0.2130845949
262	0.2129433756
263	0.2127056924
264	0.2125246782
265	0.2122899545
266	0.2120863398
267	0.2118296753
268	0.2116742651
269	0.2114470325
270	0.2112874084
271	0.2111391711
272	0.2109108095
273	0.210592178
274	0.21045846
275	0.2102327416
276	0.2100603839
277	0.2098581418
278	0.2097064929
279	0.209602916
280	0.2094623266
281	0.2092873747
282	0.2090124435
283	0.2088503101
284	0.2086570016
285	0.2083944278
286	0.2080930325
287	0.2078724647
288	0.2077161389
289	0.2075150457
290	0.2073363665
291	0.2071775703
292	0.2068973904
293	0.2067121806
294	0.2065240094
295	0.2062581753
296	0.206061574
297	0.205838581
298	0.2056836346
